ItemID,a_est,b_est
Q1,-0.055214241104148395,41.462125514394934
Q2,0.06814053711092172,-36.30383322895989
Q3,-0.1789681662964263,12.978801680297009
Q4,-0.2570967630025975,7.537530587334644
Q5,-0.24645154203777908,5.5746084362915145
Q6,-0.08242853686569998,15.494501170528705
Q7,-0.13018255518687785,9.119234734570306
Q8,-0.22696051717636845,6.731190503602956
Q9,-0.029125316139155637,40.31519404813632
Q10,-0.06977082850809117,13.242694631518866
Q11,-0.05860770433330518,8.769878752342487
Q12,-0.07863753079847244,7.745977546387203
Q13,-0.020662946178885037,17.589506514069164
Q14,-0.20148529221492734,1.592295025129522
Q15,-0.004615953089149684,1.70625564064836
Q16,-0.12086090488908553,-1.4924781595462024
Q17,0.03809171044003838,3.3393477072448174
Q18,-0.052137561303372486,-7.489903825573718
Q19,0.04577462176186821,9.934492611834894
Q20,0.02310130781718495,21.904022529242177
Q21,-0.0328228614302284,-27.313522653459017
Q22,-0.07008582503595963,-13.80376819020343
Q23,0.02369034903608196,39.01161248498252
Q24,-0.08122725231573406,-17.11975765549525
Q25,0.14168761577509903,9.980940101079893
Q26,-0.10261102375591322,-18.7669875098622
Q27,-0.12059468704366069,-12.984298682324916
Q28,-0.03342969759784914,-61.37890408176661
Q29,-0.1897415144429336,-13.430316613734568
Q30,-0.0702440143177149,-26.8665932372255
