ItemID,a,b
Q1,1.5618101782710436,-2.0
Q2,2.4260714596148745,-1.8620689655172413
Q3,2.0979909127171075,-1.7241379310344827
Q4,1.897987726295555,-1.5862068965517242
Q5,1.2340279606636548,-1.4482758620689655
Q6,1.233991780504304,-1.3103448275862069
Q7,1.0871254182522991,-1.1724137931034484
Q8,2.299264218662403,-1.0344827586206897
Q9,1.9016725176148133,-0.896551724137931
Q10,2.0621088666940683,-0.7586206896551724
Q11,1.0308767414437037,-0.6206896551724137
Q12,2.4548647782429915,-0.48275862068965525
Q13,2.2486639612006325,-0.3448275862068966
Q14,1.3185086660174141,-0.2068965517241379
Q15,1.2727374508106508,-0.06896551724137945
Q16,1.2751067647801508,0.06896551724137945
Q17,1.4563633644393066,0.2068965517241379
Q18,1.7871346474483567,0.34482758620689635
Q19,1.6479175279631737,0.48275862068965525
Q20,1.4368437102970628,0.6206896551724137
Q21,1.9177793420835691,0.7586206896551726
Q22,1.2092407909780627,0.896551724137931
Q23,1.4382169728028273,1.0344827586206895
Q24,1.5495427649405376,1.1724137931034484
Q25,1.6841049763255538,1.3103448275862069
Q26,2.1777639420895203,1.4482758620689653
Q27,1.2995106732375397,1.5862068965517242
Q28,1.7713516576204174,1.7241379310344827
Q29,1.8886218532930636,1.862068965517241
Q30,1.0696756190799965,2.0
